states,urban,total,rural
Andhra Pradesh,24,34,38
Arunachal Pradesh,23,36,38
Assam,22,44,46
Bihar,29,38,39
Chhattisgarh,31,39,41
Goa,7,8,10
Gujarat,19,30,38
Haryana,27,33,35
Himachal Pradesh,19,25,25
Jammu & Kashmir,23,24,25
Jharkhand,21,29,31
Karnataka,19,24,27
Kerala,10,10,10
Madhya Pradesh,33,47,50
Maharashtra,13,19,24
Manipur,10,11,12
Meghalaya,26,39,40
Mizoram,14,27,35
Nagaland,14,12,11
Odisha,34,44,46
Punjab,18,21,23
Rajasthan,30,41,45
Sikkim,13,16,18
Tamil Nadu,14,17,20
Telangana,24,31,35
Tripura,32,24,21
Uttarakhand,29,38,41
Uttar Pradesh,34,43,46
West Bengal,22,25,25
A& N Islands,22,16,12
Chandigarh,14,14,6
D & N Haveli,12,17,24
Daman & Diu,19,19,18
Delhi,17,18,24
Lakshadweep,20,19,16
Puducherry,8,10,16
All India,23,34,38
