total,urban,rural
27538.0791224,5540.267472,22069.0964594
941.4878507999999,117.52174070000001,790.1712779999999
29795.0839648,1451.5188600000001,28115.2172592
106014.88191679999,7194.7299904,99756.4533108
22714.7900616,3368.1945501,19374.6262641
150.52184400000002,85.693923,66.759451
36445.134276,8658.071412899999,29004.693124
17317.583692199998,4368.8830923000005,12712.20643
2745.8408,137.366124,2547.620625
4725.562593600001,939.6783354000003,3962.0061
21907.4197894,3065.3347703999993,19029.3279435
25806.6534528,7272.0711036,18715.9328325
4777.066723,2294.629344,2498.3723050000003
85677.8465773,12914.662117500002,71215.28242
33948.2859993,10239.879188500001,24080.7361488
405.2371686,103.43509599999999,320.227776
2742.2955027000003,216.7438,2456.8108039999997
459.18071100000003,100.8604044,334.702095
332.38833600000004,106.3138692,222.9537024
34351.7000112,3262.3029647999997,31529.4586992
8680.8904602,2639.3032547999996,6223.0960896
68294.80778310001,10791.437805,58401.399167999996
162.16925120000002,36.935509,127.502721
18397.49265,7332.662399999999,11243.33618
19092.733065,5552.33532,13447.649999
1207.9839095999998,347.6614048,831.6414623999999
6362.4329936,1414.8928320000002,4847.0539152
225108.58337059998,34492.5728376,195047.43771240002
35141.30427500001,7552.543319200001,26272.3652425
71.2447632,5.0507776,35.56395
205.39056999999997,198.31187880000002,3.3397631999999993
143.1547985,53.381778,89.65261439999999
110.920632,89.6335602,18.1550376
4683.835539,4313.2048865,170.969136
23.1522543,17.716864,5.430144
173.46546700000002,95.508336,85.99552
839849.0120472,147448.494875,700182.2859096
