,rural,urban,total,states
0,34776389,14610410,49386799,Andhra Pradesh
1,1066358,317369,1383727,Arunachal Pradesh
2,26807034,4398542,31205576,Assam
3,92341436,11758016,104099452,Bihar
4,19607961,5937237,25545198,Chhattisgarh
5,551731,906814,1458545,Goa
6,34694609,25745083,60439692,Gujarat
7,16509359,8842103,25351462,Haryana
8,6176050,688552,6864602,Himachal Pradesh
9,9108060,3433242,12541302,Jammu & Kashmir
10,25055073,7933061,32988134,Jharkhand
11,37469335,23625962,61095297,Karnataka
12,17471135,15934926,33406061,Kerala
13,52557404,20069405,72626809,Madhya Pradesh
14,61556074,50818259,112374333,Maharashtra
15,2021640,834154,2855794,Manipur
16,2371439,595450,2966889,Meghalaya
17,525435,571771,1097206,Mizoram
18,1407536,570966,1978502,Nagaland
19,34970562,7003656,41974218,Odisha
20,17344192,10399146,27743338,Punjab
21,51500352,17048085,68548437,Rajasthan
22,456999,153578,610577,Sikkim
23,37229590,34917440,72147030,Tamil Nadu
24,21585313,13608665,35193978,Telangana
25,2712464,961453,3673917,Tripura
26,7036954,3049338,10086292,Uttarakhand
27,155317278,44495063,199812341,Uttar Pradesh
28,62183113,29093002,91276115,West Bengal
29,237093,143488,380581,A& N Islands
30,28991,1026459,1055450,Chandigarh
31,183114,160595,343709,D & N Haveli
32,60396,182851,243247,Daman & Diu
33,419042,16368899,16787941,Delhi
34,14141,50332,64473,Lakshadweep
35,395200,852753,1247953,Puducherry
36,833748852,377106125,1210854977,All India
